SampleID_S1,TaskID_S1,TaskScore_S1,BinaryTaskScore_S1,EssentialRxnsTask_S1,ExpressionScoreEssentialRxnsTask_S1,GeneAssociatedToEssentialRxnsTask_S1,GeneExpressionValue_S1,SampleID_S2,TaskID_S2,TaskScore_S2,BinaryTaskScore_S2,EssentialRxnsTask_S2,ExpressionScoreEssentialRxnsTask_S2,GeneAssociatedToEssentialRxnsTask_S2,GeneExpressionValue_S2,SampleID_S3,TaskID_S3,TaskScore_S3,BinaryTaskScore_S3,EssentialRxnsTask_S3,ExpressionScoreEssentialRxnsTask_S3,GeneAssociatedToEssentialRxnsTask_S3,GeneExpressionValue_S3
1,1,1.92920365201021,1,L_LACtcm,15.2511252221171,366,,2,1,0.218801068077087,0,L_LACtcm,15.2511252221171,366,,3,1,1.74547905050844,1,L_LACtcm,15.2511252221171,366,
1,1,1.92920365201021,1,L_LACtm,7.90241380042352,6566,,2,1,0.218801068077087,0,L_LACtm,7.90241380042352,6566,,3,1,1.74547905050844,1,L_LACtm,7.90241380042352,6566,
1,1,1.92920365201021,1,NADH2_u10m,0.000759247990969101,4701,,2,1,0.218801068077087,0,NADH2_u10m,0.000759247990969101,4701,,3,1,1.74547905050844,1,NADH2_u10m,0.000759247990969101,4701,
1,2,14.5883159338094,1,SUCD1m,12.5833209823731,6391,,2,2,15.3919001485698,1,SUCD1m,12.5833209823731,6391,,3,2,12.5833209823731,1,SUCD1m,12.5833209823731,6391,
1,3,3.15644420218634,1,PDHm,7.58797607557578,8050,,2,3,4.80519589260255,1,PDHm,7.58797607557578,8050,,3,3,2.52932535852526,1,PDHm,7.58797607557578,8050,
1,4,7.92680112836475,1,ACONTm,12.4360021733146,50,,2,4,8.08338829279537,1,ACONTm,12.4360021733146,50,,3,4,7.04846270108521,1,ACONTm,12.4360021733146,50,
1,4,7.92680112836475,1,AKGDm,7.58797607557578,8050,,2,4,8.08338829279537,1,AKGDm,7.58797607557578,8050,,3,4,7.04846270108521,1,AKGDm,7.58797607557578,8050,
1,4,7.92680112836475,1,CSm,13.929618585127,1431,,2,4,8.08338829279537,1,CSm,13.929618585127,1431,,3,4,7.04846270108521,1,CSm,13.929618585127,1431,
1,4,7.92680112836475,1,FUMm,11.7801794814255,2271,,2,4,8.08338829279537,1,FUMm,11.7801794814255,2271,,3,4,7.04846270108521,1,FUMm,11.7801794814255,2271,
1,4,7.92680112836475,1,ICDHxm,12.1721925216061,3421,,2,4,8.08338829279537,1,ICDHxm,12.1721925216061,3421,,3,4,7.04846270108521,1,ICDHxm,12.1721925216061,3421,
1,4,7.92680112836475,1,MDHm,16.3533096869126,4190,,2,4,8.08338829279537,1,MDHm,16.3533096869126,4190,,3,4,7.04846270108521,1,MDHm,16.3533096869126,4190,
1,4,7.92680112836475,1,SUCD1m,12.5833209823731,6391,,2,4,8.08338829279537,1,SUCD1m,12.5833209823731,6391,,3,4,7.04846270108521,1,SUCD1m,12.5833209823731,6391,
1,4,7.92680112836475,1,SUCOAS1m,11.5456267887962,8801,,2,4,8.08338829279537,1,SUCOAS1m,11.5456267887962,8801,,3,4,7.04846270108521,1,SUCOAS1m,11.5456267887962,8801,
1,5,7.19140857115111,1,ACONTm,12.4360021733146,50,,2,5,7.51001971735619,1,ACONTm,12.4360021733146,50,,3,5,7.18902643794584,1,ACONTm,12.4360021733146,50,
1,5,7.19140857115111,1,AKGDm,7.58797607557578,8050,,2,5,7.51001971735619,1,AKGDm,7.58797607557578,8050,,3,5,7.18902643794584,1,AKGDm,7.58797607557578,8050,
1,5,7.19140857115111,1,ATPS4m,-1,9551,,2,5,7.51001971735619,1,ATPS4m,-1,9551,,3,5,7.18902643794584,1,ATPS4m,-1,9551,
1,5,7.19140857115111,1,ATPtm,19.7300041349385,292,,2,5,7.51001971735619,1,ATPtm,19.7300041349385,292,,3,5,7.18902643794584,1,ATPtm,19.7300041349385,292,
1,5,7.19140857115111,1,CO2tm,-1,,,2,5,7.51001971735619,1,CO2tm,-1,,,3,5,7.18902643794584,1,CO2tm,-1,,
1,5,7.19140857115111,1,CSm,13.929618585127,1431,,2,5,7.51001971735619,1,CSm,13.929618585127,1431,,3,5,7.18902643794584,1,CSm,13.929618585127,1431,
1,5,7.19140857115111,1,CYOOm3,0,170712,,2,5,7.51001971735619,1,CYOOm3,0,170712,,3,5,7.18902643794584,1,CYOOm3,0,170712,
1,5,7.19140857115111,1,CYOR_u10m,11.8269951289063,7386,,2,5,7.51001971735619,1,CYOR_u10m,11.8269951289063,7386,,3,5,7.18902643794584,1,CYOR_u10m,11.8269951289063,7386,
1,5,7.19140857115111,1,DESAT18_5,9.83892617790435,6319,,2,5,7.51001971735619,1,DESAT18_5,9.83892617790435,6319,,3,5,7.18902643794584,1,DESAT18_5,9.83892617790435,6319,
1,5,7.19140857115111,1,ENO,24.4400491636921,2023,,2,5,7.51001971735619,1,ENO,24.4400491636921,2023,,3,5,7.18902643794584,1,ENO,24.4400491636921,2023,
1,5,7.19140857115111,1,FADH2ETC,12.1408930062191,2109,,2,5,7.51001971735619,1,FADH2ETC,12.1408930062191,2109,,3,5,7.18902643794584,1,FADH2ETC,12.1408930062191,2109,
1,5,7.19140857115111,1,FBA,24.0831880688317,226,,2,5,7.51001971735619,1,FBA,24.0831880688317,226,,3,5,7.18902643794584,1,FBA,24.0831880688317,226,
1,5,7.19140857115111,1,FUMm,11.7801794814255,2271,,2,5,7.51001971735619,1,FUMm,11.7801794814255,2271,,3,5,7.18902643794584,1,FUMm,11.7801794814255,2271,
1,5,7.19140857115111,1,GAPD,25.647012775297,2597,,2,5,7.51001971735619,1,GAPD,25.647012775297,2597,,3,5,7.18902643794584,1,GAPD,25.647012775297,2597,
1,5,7.19140857115111,1,H2Otm,0.471773659483873,343,,2,5,7.51001971735619,1,H2Otm,0.471773659483873,343,,3,5,7.18902643794584,1,H2Otm,0.471773659483873,343,
1,5,7.19140857115111,1,HEX1,23.1599134548182,3099,,2,5,7.51001971735619,1,HEX1,23.1599134548182,3099,,3,5,7.18902643794584,1,HEX1,23.1599134548182,3099,
1,5,7.19140857115111,1,ICDHxm,12.1721925216061,3421,,2,5,7.51001971735619,1,ICDHxm,12.1721925216061,3421,,3,5,7.18902643794584,1,ICDHxm,12.1721925216061,3421,
1,5,7.19140857115111,1,ICDHy,12.5491942119722,3417,,2,5,7.51001971735619,1,ICDHy,12.5491942119722,3417,,3,5,7.18902643794584,1,ICDHy,12.5491942119722,3417,
1,5,7.19140857115111,1,LDH_L,22.4681047205256,3939,,2,5,7.51001971735619,1,LDH_L,22.4681047205256,3939,,3,5,7.18902643794584,1,LDH_L,22.4681047205256,3939,
1,5,7.19140857115111,1,LDH_Lm,22.4681047205256,3939,,2,5,7.51001971735619,1,LDH_Lm,22.4681047205256,3939,,3,5,7.18902643794584,1,LDH_Lm,22.4681047205256,3939,
1,5,7.19140857115111,1,L_LACtm,7.90241380042352,6566,,2,5,7.51001971735619,1,L_LACtm,7.90241380042352,6566,,3,5,7.18902643794584,1,L_LACtm,7.90241380042352,6566,
1,5,7.19140857115111,1,MDHm,16.3533096869126,4190,,2,5,7.51001971735619,1,MDHm,16.3533096869126,4190,,3,5,7.18902643794584,1,MDHm,16.3533096869126,4190,
1,5,7.19140857115111,1,NADH2_u10m,0.000759247990969101,4701,,2,5,7.51001971735619,1,NADH2_u10m,0.000759247990969101,4701,,3,5,7.18902643794584,1,NADH2_u10m,0.000759247990969101,4701,
1,5,7.19140857115111,1,O2tm,-1,,,2,5,7.51001971735619,1,O2tm,-1,,,3,5,7.18902643794584,1,O2tm,-1,,
1,5,7.19140857115111,1,PDHm,7.58797607557578,8050,,2,5,7.51001971735619,1,PDHm,7.58797607557578,8050,,3,5,7.18902643794584,1,PDHm,7.58797607557578,8050,
1,5,7.19140857115111,1,PFK,13.3420144073298,5211,,2,5,7.51001971735619,1,PFK,13.3420144073298,5211,,3,5,7.18902643794584,1,PFK,13.3420144073298,5211,
1,5,7.19140857115111,1,PGI,16.4772994913244,2821,,2,5,7.51001971735619,1,PGI,16.4772994913244,2821,,3,5,7.18902643794584,1,PGI,16.4772994913244,2821,
1,5,7.19140857115111,1,PGK,22.366089557026,5230,,2,5,7.51001971735619,1,PGK,22.366089557026,5230,,3,5,7.18902643794584,1,PGK,22.366089557026,5230,
1,5,7.19140857115111,1,PGM,15.8443452499721,5223,,2,5,7.51001971735619,1,PGM,15.8443452499721,5223,,3,5,7.18902643794584,1,PGM,15.8443452499721,5223,
1,5,7.19140857115111,1,PPA,15.9991384951685,5464,,2,5,7.51001971735619,1,PPA,15.9991384951685,5464,,3,5,7.18902643794584,1,PPA,15.9991384951685,5464,
1,5,7.19140857115111,1,PPAm,12.9502579383067,27068,,2,5,7.51001971735619,1,PPAm,12.9502579383067,27068,,3,5,7.18902643794584,1,PPAm,12.9502579383067,27068,
1,5,7.19140857115111,1,PPItm,-1,,,2,5,7.51001971735619,1,PPItm,-1,,,3,5,7.18902643794584,1,PPItm,-1,,
1,5,7.19140857115111,1,PYK,23.2819335404833,5315,,2,5,7.51001971735619,1,PYK,23.2819335404833,5315,,3,5,7.18902643794584,1,PYK,23.2819335404833,5315,
1,5,7.19140857115111,1,PYRt2m,7.90241380042352,6566,,2,5,7.51001971735619,1,PYRt2m,7.90241380042352,6566,,3,5,7.18902643794584,1,PYRt2m,7.90241380042352,6566,
1,5,7.19140857115111,1,RE0583C,-1,,,2,5,7.51001971735619,1,RE0583C,-1,,,3,5,7.18902643794584,1,RE0583C,-1,,
1,5,7.19140857115111,1,SUCD1m,12.5833209823731,6391,,2,5,7.51001971735619,1,SUCD1m,12.5833209823731,6391,,3,5,7.18902643794584,1,SUCD1m,12.5833209823731,6391,
1,5,7.19140857115111,1,SUCOASm,9.0708475034104,8803,,2,5,7.51001971735619,1,SUCOASm,9.0708475034104,8803,,3,5,7.18902643794584,1,SUCOASm,9.0708475034104,8803,
1,5,7.19140857115111,1,TPI,18.6681436602458,7167,,2,5,7.51001971735619,1,TPI,18.6681436602458,7167,,3,5,7.18902643794584,1,TPI,18.6681436602458,7167,
1,5,7.19140857115111,1,r1147,9.02417637702104,6576,,2,5,7.51001971735619,1,r1147,9.02417637702104,6576,,3,5,7.18902643794584,1,r1147,9.02417637702104,6576,
1,5,7.19140857115111,1,r1155,7.90241380042352,6566,,2,5,7.51001971735619,1,r1155,7.90241380042352,6566,,3,5,7.18902643794584,1,r1155,7.90241380042352,6566,
1,5,7.19140857115111,1,r1454,7.90241380042352,6566,,2,5,7.51001971735619,1,r1454,7.90241380042352,6566,,3,5,7.18902643794584,1,r1454,7.90241380042352,6566,
1,6,12.8832765189175,1,ENO,24.4400491636921,2023,,2,6,13.7309520443485,1,ENO,24.4400491636921,2023,,3,6,13.691913777537,1,ENO,24.4400491636921,2023,
1,6,12.8832765189175,1,FBA,24.0831880688317,226,,2,6,13.7309520443485,1,FBA,24.0831880688317,226,,3,6,13.691913777537,1,FBA,24.0831880688317,226,
1,6,12.8832765189175,1,GAPD,25.647012775297,2597,,2,6,13.7309520443485,1,GAPD,25.647012775297,2597,,3,6,13.691913777537,1,GAPD,25.647012775297,2597,
1,6,12.8832765189175,1,HEX1,23.1599134548182,3099,,2,6,13.7309520443485,1,HEX1,23.1599134548182,3099,,3,6,13.691913777537,1,HEX1,23.1599134548182,3099,
1,6,12.8832765189175,1,PFK,13.3420144073298,5211,,2,6,13.7309520443485,1,PFK,13.3420144073298,5211,,3,6,13.691913777537,1,PFK,13.3420144073298,5211,
1,6,12.8832765189175,1,PGI,16.4772994913244,2821,,2,6,13.7309520443485,1,PGI,16.4772994913244,2821,,3,6,13.691913777537,1,PGI,16.4772994913244,2821,
1,6,12.8832765189175,1,PGK,22.366089557026,5230,,2,6,13.7309520443485,1,PGK,22.366089557026,5230,,3,6,13.691913777537,1,PGK,22.366089557026,5230,
