index,v1,v2,v3
7,ATP generation from ions,ENERGY METABOLISM,ATP GENERATION
82,Cysteine synthesis,AMINO ACIDS METABOLISM,CYSTEINE METABOLISM
99,Histidine synthesis,AMINO ACIDS METABOLISM,HISTIDINE METABOLISM
103,Homocysteine synthesis,AMINO ACIDS METABOLISM,HOMOCYSTEINE METABOLISM
106,Isoleucine synthesis,AMINO ACIDS METABOLISM,ISOLEUCINE METABOLISM
108,Leucine synthesis,AMINO ACIDS METABOLISM,LEUCINE METABOLISM
111,Lysine synthesis,AMINO ACIDS METABOLISM,LYSINE METABOLISM
115,Methionine synthesis,AMINO ACIDS METABOLISM,METHIONINE METABOLISM
123,Phenylalanine synthesis,AMINO ACIDS METABOLISM,PHENYLALANINE METABOLISM
131,Threonine synthesis,AMINO ACIDS METABOLISM,THREONINE METABOLISM
133,Tryptophan synthesis,AMINO ACIDS METABOLISM,TRYPTOPHAN METABOLISM
141,Tyrosine synthesis,AMINO ACIDS METABOLISM,TYROSINE METABOLISM
147,Valine synthesis,AMINO ACIDS METABOLISM,VALINE METABOLISM
172,Linolenate synthesis,LIPIDS METABOLISM,FATTY ACID METABOLISM
174,Linoleate synthesis,LIPIDS METABOLISM,FATTY ACID METABOLISM
