detailScoring1,detailScoring2,detailScoring3,detailScoring4,detailScoring5,detailScoring6,detailScoring7,detailScoring8,detailScoring9,detailScoring10,detailScoring11,detailScoring12,detailScoring13,detailScoring14,detailScoring15,detailScoring16,detailScoring17,detailScoring18,detailScoring19,detailScoring20,detailScoring21,detailScoring22,detailScoring23,detailScoring24
1,1,0.440883734852696,0,L_LACtcm,6.18124540930833,366,,2,1,0.0338128126417043,0,L_LACtcm,6.18124540930833,366,,3,1,0.700330051560624,0,L_LACtcm,6.18124540930833,366,
1,1,0.440883734852696,0,L_LACtm,2.10454396396708,6566,,2,1,0.0338128126417043,0,L_LACtm,2.10454396396708,6566,,3,1,0.700330051560624,0,L_LACtm,2.10454396396708,6566,
1,1,0.440883734852696,0,NADH2_u10m,0.000103018938702159,4701,,2,1,0.0338128126417043,0,NADH2_u10m,0.000103018938702159,4701,,3,1,0.700330051560624,0,NADH2_u10m,0.000103018938702159,4701,
1,2,3.23298095769582,0,SUCD1m,2.47696787815551,6389,,2,2,3.58592545387176,1,SUCD1m,2.47696787815551,6389,,3,2,2.47696787815551,0,SUCD1m,2.47696787815551,6389,
1,3,0.947763683834083,0,PDHm,1.97093316270572,8050,,2,3,1.45790273634571,0,PDHm,1.97093316270572,8050,,3,3,0.656977720901906,0,PDHm,1.97093316270572,8050,
1,4,2.08959685319277,1,ACONTm,2.75208435027762,50,,2,4,1.98191976171881,1,ACONTm,2.75208435027762,50,,3,4,1.52935269197994,0,ACONTm,2.75208435027762,50,
1,4,2.08959685319277,1,AKGDm,1.97093316270572,8050,,2,4,1.98191976171881,1,AKGDm,1.97093316270572,8050,,3,4,1.52935269197994,0,AKGDm,1.97093316270572,8050,
1,4,2.08959685319277,1,CSm,2.69666507648636,1431,,2,4,1.98191976171881,1,CSm,2.69666507648636,1431,,3,4,1.52935269197994,0,CSm,2.69666507648636,1431,
1,4,2.08959685319277,1,FUMm,2.9024643529307,2271,,2,4,1.98191976171881,1,FUMm,2.9024643529307,2271,,3,4,1.52935269197994,0,FUMm,2.9024643529307,2271,
1,4,2.08959685319277,1,ICDHxm,2.95270727736527,3419,,2,4,1.98191976171881,1,ICDHxm,2.95270727736527,3419,,3,4,1.52935269197994,0,ICDHxm,2.95270727736527,3419,
